"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WASF2",1.17019290259183e-09,0.415580368123925,0.953,0.906,4.28302304277637e-05
"TRANK1",1.17052004570025e-09,1.26580415163621,0.589,0.401,4.28422041926748e-05
"SLC12A7",1.17132271356212e-09,0.900418212876299,0.327,0.15,4.28715826390872e-05
"AL603839.3",1.17766433108675e-09,0.59981681091803,0.44,0.236,4.31036921821063e-05
"BRF1",1.1824421663423e-09,0.570240613806215,0.655,0.44,4.32785657302947e-05
"KDM2B",1.19341991533715e-09,0.758145681031829,0.633,0.417,4.36803623212549e-05
"JPH1",1.19830201112386e-09,1.68430005066969,0.193,0.062,4.38590519091442e-05
"ANO3",1.20197088092748e-09,3.30421435912958,0.265,0.115,4.39933362128267e-05
"TCF7",1.20455363287083e-09,-1.2578768581297,0.262,0.44,4.40878675167053e-05
"KCTD10",1.2076675124213e-09,0.508691587105732,0.789,0.605,4.42018386221319e-05
"RNF31",1.21176579018106e-09,1.00766742422828,0.582,0.36,4.43518396864171e-05
"AC090114.2",1.21577869879177e-09,0.864754920137572,0.425,0.212,4.44987161544775e-05
"SCAF11",1.21604727321197e-09,0.331511784326838,0.942,0.903,4.45085462468313e-05
"ST5",1.21930506424596e-09,0.760226355956569,0.829,0.689,4.46277846564664e-05
"VPS54",1.23164092605402e-09,0.858964124579898,0.869,0.735,4.50792895345032e-05
"AC114763.1",1.23604446623574e-09,1.2510822501072,0.36,0.181,4.52404635086943e-05
"FO393419.2",1.24820513460411e-09,2.54009797294218,0.113,0.021,4.5685556131645e-05
"TPST1",1.25809995000975e-09,-0.514825647603306,0.887,0.904,4.60477162703068e-05
"FZD4",1.26050036349804e-09,0.851280290002066,0.578,0.376,4.61355738043919e-05
"ERBB2",1.26335146188573e-09,0.929256697909596,0.6,0.372,4.62399268564794e-05
"OLFML1",1.27299494103757e-09,1.83093869834394,0.164,0.046,4.65928878369162e-05
"PHYKPL",1.27661588375515e-09,0.588507323767933,0.855,0.709,4.67254179613221e-05
"TNRC6A",1.28664597820688e-09,0.518956583418289,0.942,0.867,4.70925294483498e-05
"SMYD4",1.29117997743334e-09,0.997026898057315,0.505,0.288,4.72584783540378e-05
"AC105446.1",1.30169964465317e-09,-1.4961733341045,0.233,0.403,4.76435086939506e-05
"TBX19",1.3151791514027e-09,1.40696832645245,0.211,0.074,4.81368721204903e-05
"FOXK2",1.31825618229511e-09,0.586081291887592,0.84,0.714,4.82494945281834e-05
"REXO2",1.32099260420054e-09,-0.329239021744007,0.862,0.931,4.83496503063439e-05
"PRKAR1B",1.32775425838068e-09,0.790782515196594,0.589,0.366,4.85971336109913e-05
"AC006504.5",1.34450296437562e-09,0.640358240806446,0.549,0.335,4.92101529991122e-05
"AC010173.1",1.37491485771134e-09,1.42961047470061,0.189,0.06,5.03232587070926e-05
"F11R",1.37873467953686e-09,1.95312198479487,0.298,0.14,5.04630680057286e-05
"RASGRF2",1.38849780144343e-09,2.32621252440597,0.251,0.105,5.08204080306311e-05
"CBFB",1.39350554164203e-09,1.01419437452824,0.865,0.742,5.10036963296399e-05
"DNAAF4",1.40473390079637e-09,1.11265270410712,0.516,0.298,5.14146655030481e-05
"AC093849.4",1.41068545479966e-09,2.10981078104016,0.142,0.034,5.16324983311223e-05
"IFIT1",1.41763922379085e-09,1.24981569292394,0.356,0.173,5.1887013229969e-05
"LMAN2L",1.42053847009109e-09,0.616084679331189,0.527,0.311,5.19931285438039e-05
"PRRC2B",1.42238002934512e-09,0.64204346912148,0.924,0.861,5.20605314540607e-05
"POLG2",1.42806182270288e-09,-1.28169817777021,0.469,0.581,5.2268490772748e-05
